id;description;nom;contact;adresse;type_partenaire
1;ew;resident excluding a;intrepid if guilty;modulo during whimsical;reproachfully nearer
2;oof than;state;inspection;straight;upwardly sickness
3;among serious;drat ouch proceedings;briefly huzzah until;unless badly;now bean
4;foal;butcher though incidentally;fish;consequently repeatedly provided;abstain bossy of
5;bad;wan;justice raven;worst international;lest
6;once;chalk given;shout;vivaciously bleakly;prize
7;capitalise;vanish yap echidna;immaculate what evince;gee likewise;aw
8;meanwhile;cleric besides;hiring bubbly eyrie;gee;smear
9;per instead;kindly but;geez remorseful resume;whose;nor softly nut
10;geez yet now;too bakery populate;excepting grave;excitable;retch terrorise asset
