id;date_debut;date_fin;total_prix;statut_paiement
1;2024-07-31T16:04:10;2024-08-01T11:13:55;7822.91;ANNULE
2;2024-07-31T15:28:25;2024-08-01T09:16:27;25829.81;ANNULE
3;2024-07-31T19:54:20;2024-08-01T10:21:35;1397.62;CONFIRME
4;2024-08-01T03:55:40;2024-08-01T04:21:53;8082.15;CONFIRME
5;2024-08-01T09:42:09;2024-07-31T13:03:54;31392.16;EN_COURS
6;2024-07-31T17:07:07;2024-07-31T12:39:47;16440.53;EN_COURS
7;2024-07-31T18:45:31;2024-08-01T04:56:09;19939.19;ANNULE
8;2024-08-01T11:08:46;2024-07-31T22:17:26;7544.16;EN_COURS
9;2024-08-01T06:06:40;2024-08-01T05:02:44;9199.59;CONFIRME
10;2024-08-01T09:26:54;2024-08-01T06:37:06;7070.73;EN_COURS
