id;nom;description;prix;disposability;capacite;type_service
1;incidentally;righteously archaeology;21709.05;drat peak;24532;and times phew
2;times what zowie;tart;16420.77;intrepid that but;16182;disloyal knottily
3;closely;silver;25415.04;versus faculty demobilise;14509;now
4;slick doe crossly;bedeck hail;12954.45;jaggedly;29115;lipoprotein
5;harass;underneath;6652.14;upstage;19524;aside
6;assassination;unfortunately ick more;4218.45;vice;32283;eating
7;peaceful than awkwardly;considering;2682.67;ha vice ack;24881;between
8;ruin;wild compromise;26641.07;repeatedly even;31308;whisk throughout cartoon
9;debrief;around maul discount;26967.83;however aboard;492;overload clear animated
10;wink furnace;poorly;12561.61;partial wholly;22253;ack tailor
