id;nom_template;corps;date_creation;date_modify;active_status
1;indeed;acidly as organic;2024-08-01T00:28:35;2024-07-31T15:03:56;AVAILABLE
2;import yippee what;boo at;2024-07-31T14:43:31;2024-07-31T17:50:53;AVAILABLE
3;garnish near hm;on blind;2024-08-01T07:44:33;2024-07-31T15:15:41;AVAILABLE
4;ready blah pickle;beside;2024-07-31T19:23:28;2024-07-31T12:09:48;OFFLINE
5;unabashedly cupboard greatness;verbally;2024-07-31T13:10:20;2024-07-31T21:56:39;AVAILABLE
6;blissfully punctually woot;how;2024-08-01T04:36:50;2024-07-31T21:35:47;AVAILABLE
7;knottily stigmatize banish;pfft kit selfish;2024-08-01T10:09:34;2024-08-01T06:38:05;OFFLINE
8;circa;toward once;2024-08-01T01:53:47;2024-07-31T23:09:32;OFFLINE
9;well mean;nor whoever waylay;2024-08-01T11:12:00;2024-07-31T12:35:51;AVAILABLE
10;sequence;slimy;2024-07-31T21:28:46;2024-08-01T02:34:58;AVAILABLE
