id;description;nom;contact;adresse;type_partenaire
1;remortgage alarming;real yowza;caring serpentine murky;tiptoe drat agonizing;ah
2;regal any serene;via amidst crazy;lest round sharply;soccer inside mute;toaster although prattle
3;in employer powerless;nor;free softly;with delight that;quixotic collapse grade
4;shrilly times upbeat;till or;gee transcript safe;psst ah;in
5;officially arid pilot;er sick;yuck inwardly;after thankfully meanwhile;partially roughly
6;lobby gosh greedily;enchanting along;phew disco;breath;open instead
7;solemnly meh ruffle;zany daring;editorialize seashore;speedily vacantly inaugurate;defiantly
8;excepting psst into;hm while mostly;planula into ambassador;delight to;now pfft postbox
9;tape finally;duh;aluminum;once brr gamma-ray;when smile
10;calm;unlined likewise iron;dear;caring;attacker honestly
