id;date_debut;date_fin;total_prix;statut_paiement
1;2024-07-31T20:45:50;2024-07-31T20:14:17;7216.45;ANNULE
2;2024-08-01T08:35:53;2024-08-01T08:20:55;18387.36;CONFIRME
3;2024-08-01T11:15:51;2024-08-01T08:50:53;16207.7;ANNULE
4;2024-07-31T19:05:11;2024-07-31T16:32:47;28891.01;EN_COURS
5;2024-08-01T05:22:22;2024-07-31T12:07:22;8584.27;CONFIRME
6;2024-07-31T21:16:13;2024-08-01T02:51:44;16466.26;EN_COURS
7;2024-07-31T15:55:34;2024-07-31T18:09:34;13208.76;ANNULE
8;2024-08-01T01:14:20;2024-08-01T03:06:19;23674.06;ANNULE
9;2024-08-01T01:09:14;2024-08-01T05:13:56;32437.68;EN_COURS
10;2024-08-01T05:59:44;2024-08-01T05:02:09;320.28;CONFIRME
