id;nom;description;prix;disposability;capacite;type_service
1;weakly cygnet appropriate;straight absent outside;31426.22;joyful affectionate given;4454;aboard daily amid
2;zowie even however;miserly fatten treat;16636.31;fooey;13593;frogmarch a
3;whoever brr;shrill;29331.37;decrease certification aw;26980;by ha
4;unless dangerous thoroughly;anti concerning owlishly;17563.14;sweaty eek mostly;2699;times or
5;abnormally unconscious;tan smoothly aha;25263.16;inside mealy mug;12843;shoemaker meaningfully
6;vague assault;perfectly yuck sunbathe;31516.32;excluding harmony plus;5294;dock true whether
7;given chafe;dreamily clinch ugh;27685.99;carpet construe;12434;because
8;save how provided;coolly ouch angel;663.04;accusation agree whether;13236;next
9;out;system nor;14743.61;pro;27840;cheer grounded telegraph
10;ugh near transpose;now save derive;28004.09;renounce elegantly than;2783;ack
